"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","last_modified","latitude","longitude","location"
"35",14600054,1047,49670365,"Private room",NA,"Washington",NA,"Catholic University-Brookland",12,4.5,2,1,NA,40,NA,"2017-04-08 22:53:12.427117",38.95002,-76.997304,"0101000020E6100000E10A28D4D33F53C0E1455F419A794340"
"36",2593088,1047,13275854,"Entire home/apt",NA,"Washington",NA,"Mount Pleasant",36,5,4,1,NA,89,NA,"2017-04-08 23:46:32.419186",38.930819,-77.038472,"0101000020E6100000F3734353764253C06ABFB51325774340"
"37",15703865,1047,101410443,"Entire home/apt",NA,"Washington",NA,"South West",0,0,6,3,NA,900,NA,"2017-04-09 02:25:03.023479",38.881021,-77.022652,"0101000020E610000018CC5F21734153C06B0BCF4BC5704340"
"38",15915362,1047,16644446,"Entire home/apt",NA,"Washington",NA,"Capitol Hill",1,0,3,1,NA,249,NA,"2017-04-09 01:27:30.650831",38.898304,-77.002805,"0101000020E6100000FAD005F52D4053C0D9EE1EA0FB724340"
"39",4658202,1047,4128998,"Private room",NA,"Washington",NA,"Ledroit Park",42,5,2,1,NA,70,NA,"2017-04-08 23:00:55.659008",38.911822,-77.009465,"0101000020E61000003A5D16139B4053C0FCE25295B6744340"
"40",15868039,1047,1190280,"Entire home/apt",NA,"Washington",NA,"Adams Morgan",0,0,4,2,NA,195,NA,"2017-04-09 03:34:03.812735",38.920497,-77.038985,"0101000020E61000003602F1BA7E4253C076887FD8D2754340"
"41",16677792,1047,110366635,"Entire home/apt",NA,"Washington",NA,"Capitol Hill",0,0,2,0,NA,75,NA,"2017-04-08 23:40:32.633130",38.89881,-76.993366,"0101000020E610000055BDFC4E933F53C0ACA8C1340C734340"
"42",1198049,1047,17633,"Entire home/apt",NA,"Washington",NA,"Adams Morgan",78,4.5,2,0,NA,152,NA,"2017-04-09 00:49:24.454554",38.915207,-77.044245,"0101000020E6100000BD00FBE8D44253C0FF08C38025754340"
"43",4758676,1047,24554688,"Entire home/apt",NA,"Washington",NA,"Mount Pleasant",22,4.5,4,1,NA,125,NA,"2017-04-09 00:29:19.491278",38.93559,-77.042233,"0101000020E6100000F7730AF2B34253C0793BC269C1774340"
"44",13450628,1047,76817214,"Private room",NA,"Washington",NA,"Chevy Chase",14,5,2,1,NA,58,NA,"2017-04-08 22:57:05.910438",38.953353,-77.069273,"0101000020E6100000BB5F05F86E4453C091459A78077A4340"
"45",16633054,1047,10012078,"Entire home/apt",NA,"Washington",NA,"Foggy Bottom",0,0,4,2,NA,200,NA,"2017-04-09 01:21:16.808145",38.901311,-77.051737,"0101000020E610000090BFB4A84F4353C03543AA285E734340"
