"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","property_type","last_modified","latitude","longitude","location"
"36",14222206,1129,86211107,"Private room",NA,"New York","Queens","Rosedale",1,NA,2,1,NA,75,NA,"Cozy room 5 minutes from JFK","Apartment","2017-04-21 18:15:56.054052",40.661677,-73.746781,"0101000020E61000008C118942CB6F52C0F8C1F9D4B1544440"
"37",15660765,1129,34920943,"Private room",NA,"New York","Manhattan","Upper West Side",0,NA,2,1,NA,80,NA,"Beautiful room in a modern apartment","Apartment","2017-04-21 18:47:09.065316",40.783103,-73.981146,"0101000020E61000007AA69718CB7E52C0223317B83C644440"
"38",17612481,1129,29160552,"Entire home/apt",NA,"New York","Manhattan","Midtown",0,NA,3,1,NA,200,NA,"Empire Suites 9","Boutique hotel","2017-04-22 18:57:52.858013",40.746707,-73.986861,"0101000020E6100000AA2C0ABB287F52C0DE585018945F4440"
"39",15675274,1129,62641421,"Entire home/apt",NA,"New York","Manhattan","Upper East Side",1,NA,2,0,NA,125,NA,"Beautiful Upper East Side Studio","Apartment","2017-04-22 12:12:10.420516",40.7754,-73.952357,"0101000020E61000007847C66AF37C52C0C1A8A44E40634440"
"40",16810467,1129,11996614,"Entire home/apt",NA,"New York","Brooklyn","Bushwick",7,4.5,10,2,NA,104,NA,"Duplex sized for sharing","House","2017-04-22 09:57:08.443211",40.69843,-73.926454,"0101000020E6100000E6CFB7054B7B52C0CC457C2766594440"
"41",386799,1129,1935605,"Entire home/apt",NA,"New York","Manhattan","Midtown",116,5,5,1,NA,250,NA,"Midtown NYC - 1 Bedroom Apartment","Apartment","2017-04-22 21:08:22.975458",40.76082,-73.975478,"0101000020E6100000EBFD463B6E7E52C04512BD8C62614440"
"42",12028699,1129,64257073,"Entire home/apt",NA,"New York","Manhattan","Hell's Kitchen",68,5,2,1,NA,99,NA,"Amazingly Located and near Times Square!!","Apartment","2017-04-22 07:14:02.451011",40.763367,-73.988853,"0101000020E61000004CE3175E497F52C03EEC8502B6614440"
"43",8145441,1129,7950356,"Entire home/apt",NA,"New York","Brooklyn","Park Slope",10,5,3,1,NA,175,NA,"Roomy Brooklyn Brownstone","Apartment","2017-04-22 16:00:30.978392",40.667656,-73.982574,"0101000020E610000098F90E7EE27E52C0357D76C075554440"
"44",16002946,1129,11017633,"Entire home/apt",NA,"New York","Brooklyn","Downtown Brooklyn",0,NA,2,1,NA,224,NA,"Luxury and  Contemporary","Apartment","2017-04-22 21:35:11.070566",40.697441,-73.984447,"0101000020E61000004D69FD2D017F52C0DCF126BF45594440"
"45",1507845,1129,109505,"Entire home/apt",NA,"New York","Manhattan","Upper East Side",36,5,2,0,NA,129,NA,"Comfy private studio and garden NYC","Apartment","2017-04-22 12:11:59.614425",40.767311,-73.950278,"0101000020E6100000EE06D15AD17C52C0376E313F37624440"
"46",11472593,1129,60362319,"Shared room",NA,"New York","Manhattan","Upper East Side",1,NA,1,1,NA,140,NA,"★Beautiful Spacious Shared Studio!","Apartment","2017-04-23 15:52:55.956853",40.770128,-73.956778,"0101000020E610000011E2CAD93B7D52C0F0DDE68D93624440"
"47",17541599,1129,6811053,"Private room",NA,"New York","Manhattan","East Harlem",1,NA,1,1,NA,27,NA,"Furnished room in Upper East Side apartment","Apartment","2017-04-21 12:07:54.970538",40.789432,-73.947803,"0101000020E61000003E03EACDA87C52C03B35971B0C654440"
"48",9712126,1129,9339714,"Entire home/apt",NA,"New York","Manhattan","Gramercy",30,4.5,4,0,NA,140,NA,"BEST Manhattan Downtown Location!","Apartment","2017-04-22 12:31:15.237708",40.733038,-73.984295,"0101000020E610000072A774B0FE7E52C0D55C6E30D45D4440"
"49",5102006,1129,26360956,"Entire home/apt",NA,"New York","Brooklyn","Cobble Hill",16,5,3,1,NA,175,NA,"Quaint Sunny Cobble Hill Brownstone","Apartment","2017-04-22 15:40:56.023862",40.688538,-73.995331,"0101000020E61000007A6CCB80B37F52C0D106600322584440"
"50",2124910,1129,10384906,"Private room",NA,"New York","Brooklyn","Borough Park",44,4,1,1,NA,30,NA,"Room E","House","2017-04-21 12:37:05.448227",40.635922,-74.004761,"0101000020E6100000F6D214014E8052C0496760E465514440"
"51",12114228,1129,47864677,"Entire home/apt",NA,"New York","Manhattan","Upper East Side",9,5,1,0,NA,100,NA,"Charming UES Studio","Apartment","2017-04-22 07:14:37.923201",40.771167,-73.958511,"0101000020E6100000CD76853E587D52C09160AA99B5624440"
"52",13123464,1129,73034882,"Private room",NA,"New York","Queens","Jackson Heights",20,4.5,1,1,NA,33,NA,"Jackson Heights pit stop.","Apartment","2017-04-21 12:07:56.814405",40.753832,-73.88618,"0101000020E6100000A297512CB77852C0D25625917D604440"
"53",8403327,1129,15928518,"Entire home/apt",NA,"New York","Brooklyn","Williamsburg",5,5,2,1,NA,105,NA,"Sunny 1 BR Apt in Williamsburg","Apartment","2017-04-22 09:52:37.619024",40.712696,-73.940478,"0101000020E6100000E126A3CA307C52C0B9FE5D9F395B4440"
"54",17319360,1129,42814202,"Entire home/apt",NA,"New York","Queens","Fresh Meadows",3,5,4,2,NA,90,NA,"Private  suite","Apartment","2017-04-22 07:46:49.630938",40.742266,-73.787071,"0101000020E610000052280B5F5F7252C064778192025F4440"
"55",6414759,1129,1251809,"Private room",NA,"New York","Brooklyn","Bedford-Stuyvesant",39,4.5,2,1,NA,65,NA,"1 BR in Townhouse 15min Manhattan","Other","2017-04-21 17:53:20.374231",40.691329,-73.9318,"0101000020E61000006B9A779CA27B52C061E3FA777D584440"
"56",4282178,1129,21641206,"Private room",NA,"New York","Brooklyn","Bedford-Stuyvesant",152,4.5,3,1,NA,53,NA,"A Superhost SALE! DELUXE Room!","Apartment","2017-04-21 13:39:57.401332",40.697237,-73.949143,"0101000020E61000008D0E48C2BE7C52C0D447E00F3F594440"
"57",202716,1129,975030,"Entire home/apt",NA,"New York","Brooklyn","Bedford-Stuyvesant",87,4.5,4,2,NA,110,NA,"Quaint Retreat ...live like a local","Apartment","2017-04-22 10:14:01.215149",40.681934,-73.940843,"0101000020E6100000EAEA8EC5367C52C0E603029D49574440"
"58",17284676,1129,103368847,"Entire home/apt",NA,"New York","Manhattan","Upper West Side",2,NA,4,1,NA,239,NA,"Astounding Upper West Side Penthouse with Terrace","Apartment","2017-04-22 21:00:04.787725",40.786066,-73.972561,"0101000020E61000005D177E703E7E52C0AF3F89CF9D644440"
